wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1157.1256,0,0.13895,4.6736e-07,6.8884,7.0273
1157.1356,0,0.13895,4.6732e-07,6.8891,7.0281
1157.1457,0,0.13895,4.6728e-07,6.8899,7.0288
1157.1557,0,0.13895,4.6724e-07,6.8906,7.0296
1157.1657,0,0.13895,4.672e-07,6.8914,7.0303
1157.1758,0,0.13895,4.6716e-07,6.8921,7.0311
1157.1858,0,0.13895,4.6712e-07,6.8928,7.0318
1157.1958,0,0.13895,4.6708e-07,6.8936,7.0325
1157.2059,0,0.13895,4.6704e-07,6.8943,7.0333
1157.2159,0,0.13895,4.67e-07,6.8951,7.034
1157.2260,0,0.13895,4.6696e-07,6.8958,7.0348
1157.2360,0,0.13895,4.6692e-07,6.8966,7.0355
1157.2460,0,0.13895,4.6688e-07,6.8973,7.0363
1157.2561,0,0.13895,4.6684e-07,6.8981,7.037
1157.2661,0,0.13895,4.668e-07,6.8988,7.0378
1157.2761,0,0.13895,4.6676e-07,6.8996,7.0385
1157.2862,0,0.13895,4.6672e-07,6.9003,7.0393
1157.2962,0,0.13895,4.6668e-07,6.901,7.04
1157.3062,0,0.13895,4.6664e-07,6.9018,7.0407
1157.3163,0,0.13895,4.666e-07,6.9025,7.0415
1157.3263,0,0.13895,4.6656e-07,6.9033,7.0422
1157.3364,0,0.13895,4.6652e-07,6.904,7.043
1157.3464,0,0.13895,4.6647e-07,6.9048,7.0437
1157.3564,0,0.13895,4.6643e-07,6.9055,7.0445
1157.3665,0,0.13895,4.6639e-07,6.9063,7.0452
1157.3765,0,0.13895,4.6635e-07,6.907,7.0459
1157.3865,0,0.13895,4.6631e-07,6.9077,7.0467
1157.3966,0,0.13895,4.6627e-07,6.9085,7.0474
1157.4066,0,0.13895,4.6623e-07,6.9092,7.0482
1157.4166,0,0.13895,4.6619e-07,6.91,7.0489
1157.4267,0,0.13895,4.6615e-07,6.9107,7.0497
1157.4367,0,0.13895,4.6611e-07,6.9115,7.0504
1157.4467,0,0.13895,4.6607e-07,6.9122,7.0512
1157.4568,0,0.13895,4.6603e-07,6.9129,7.0519
1157.4668,0,0.13895,4.6598e-07,6.9137,7.0526
1157.4769,0,0.13895,4.6594e-07,6.9144,7.0534
1157.4869,0,0.13895,4.659e-07,6.9152,7.0541
1157.4969,0,0.13895,4.6586e-07,6.9159,7.0549
